Office Automation,اتوماسیون اداری
Office Automation Settings,تنظیمات اتوماسیون اداری
Automation Letter,نامهٔ اداری
Document Referral,ارجاع سند
Automation Letter Attachment,پیوست نامه
Automation Letter Recipient,گیرندهٔ نامه
Letter Type,نوع نامه
Action Type,نوع اقدام
Delegation Rule,قانون جانشینی
Office Automation Manager,مدیر اتوماسیون اداری
Office Automation User,کاربر اتوماسیون اداری
Inbox,کارتابل
Inbox / کارتابل,کارتابل
Correspondence,مکاتبات
Masters,داده‌های پایه
Access Control,کنترل دسترسی
Shortcuts,میان‌برها
Routing,مسیر ارجاع
Unseen Referrals,ارجاع‌های دیده‌نشده
Pending Referrals,ارجاع‌های در انتظار
Overdue Referrals,ارجاع‌های معوق
Action Type Name,نام نوع اقدام
Actioned On,تاریخ اتمام
Amended From,اصلاح‌شده از
Archive / DMS,بایگانی / DMS
Archive Doctype,داک‌تایپ بایگانی
Archive Name,نام بایگانی
Attachment,پیوست
Attachments,پیوست‌ها
Body,متن
CC,رونوشت
Carbon Copy (رونوشت),رونوشت
Classification,طبقه‌بندی
Confidentiality,محرمانگی
Create ToDo Assignment,ایجاد کار (ToDo)
Date,تاریخ
Delegatee,جانشین
Delegator,واگذارکننده
Description,توضیحات
External Reference Doctype,داک‌تایپ مرجع خارجی
External Reference Name,نام مرجع خارجی
From Date,از تاریخ
Instruction (هامش‌نویسی),هامش‌نویسی
Is Active,فعال
Is Archived,بایگانی‌شده
Is CC,رونوشت
Is Overdue,معوق
Letter Details,مشخصات نامه
Letter No,شمارهٔ نامه
Letter Type Name,نام نوع نامه
Name,نام
Notifications,اعلان‌ها
Notify On Overdue,اعلان هنگام معوق‌شدن
Outcome,نتیجه
Overdue After (Days),معوق پس از (روز)
Parent Referral,ارجاع والد
Private,خصوصی
Realtime Inbox Update,به‌روزرسانی زندهٔ کارتابل
Recipient,گیرنده
Recipient (Employee),گیرنده (کارمند)
Recipients,گیرندگان
Recipients (گیرندگان),گیرندگان
Reference,مرجع
Reference Document,سند مرجع
Reference Document Type,نوع سند مرجع
Referral Type,نوع ارجاع
SLA / Overdue,سررسید / معوق
Seen On,تاریخ مشاهده
Send Email Notification,ارسال اعلان ایمیلی
Sender,فرستنده
Series,سری
Status,وضعیت
Subject,موضوع
Title,عنوان
To Date,تا تاریخ
Tracking,پیگیری
Urgency,فوریت
User Instruction / Note,دستور/یادداشت کاربر
Order,دستور
Follow-up,پیگیری
Action,اقدام
Notification,استحضار
Info,اطلاع
Normal,عادی
Confidential,محرمانه
Secret,سری
Urgent,فوری
Immediate,آنی
Approved,تأیید شده
Rejected,رد شده
Pending,در انتظار
Unseen,دیده‌نشده
Seen,دیده‌شده
Actioned,اتمام‌یافته
Draft,پیش‌نویس
Registered,ثبت‌شده
In Progress,در دست اقدام
Closed,بسته‌شده
Cancelled,باطل‌شده
Forward,ارجاع
Forward (Erja),ارجاع
Forward Letter (Erja),ارجاع نامه
Referral Tree (درخت ارجاعات),درخت ارجاعات
View Referral Tree,مشاهدهٔ درخت ارجاعات
Add Recipient,افزودن گیرنده
Submit & Refer,ثبت و ارجاع
Actions,عملیات
Open,بازکردن
Mark Actioned,اتمام کار
Instruction / Note (هامش‌نویسی),دستور/یادداشت
Leave blank to refer directly from the letter.,برای ارجاع مستقیم از نامه، خالی بگذارید.
